Month,Day,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Mean,StDev
1,1,645,2374,1476,439,1977,1658,1087,1913,1476,787,689,528,382,594,493,1091,1999,1959,2263,2137,1759,1320.285714,686.1059789
1,2,1849,1814,1723,1243,1027,609,1165,1046,1218,959,1677,2363,1120,1061,792,1769,926,2494,963,1818,950,1361.238095,516.5427286
1,3,1479,2393,453,456,932,2360,2267,1958,2353,542,2573,2132,521,631,599,675,2073,1975,1087,863,1669,1428.142857,784.1200983
1,4,1711,986,731,1360,346,2429,1249,1235,1931,1784,1932,1926,1528,910,391,648,1477,1211,623,2486,550,1306.857143,637.6258531
1,5,489,2314,1690,2573,1733,2091,1548,1193,2439,1478,1312,478,957,681,486,1361,1069,1388,2440,2159,1204,1480.142857,668.6909066
1,6,908,2364,2488,2428,1495,805,1699,2126,2010,1195,1621,1332,750,385,1924,1316,1112,1691,1371,1682,989,1509.095238,581.3921142
1,7,1229,2449,1724,2424,1896,2622,1713,1120,1278,1481,1464,2281,2443,1957,1797,2496,713,1346,980,2246,674,1730.142857,606.7406601
1,8,604,1249,1803,1976,2509,2591,2128,1438,1041,1407,1757,596,2102,440,1865,1001,1951,1327,2391,1405,760,1540.047619,644.6616536
1,9,885,1689,2051,795,1726,2443,1097,1934,1581,2483,1409,1004,585,2004,2688,1289,1035,2167,866,656,1587,1522.571429,634.5152143
1,10,2000,2506,1276,473,2624,1500,2551,677,2314,1577,1841,2127,2329,923,2695,2506,1598,2218,554,2677,1548,1834,725.1004758
1,11,2496,1582,2211,1842,1082,484,722,2122,1505,1616,379,1956,864,1267,1255,1122,1082,1329,546,1631,2476,1408.047619,627.1516145
1,12,2351,812,194,1669,927,649,1360,700,1358,2191,1092,626,2394,294,601,2548,1927,2701,2081,543,2528,1406.952381,836.2159695
1,13,2665,1677,1816,1796,2823,1508,463,997,1703,662,2091,387,2164,976,1135,1578,1674,2484,729,1705,519,1502.47619,722.4372373
1,14,2605,2476,1761,1786,2492,294,1607,1473,1995,1694,1134,595,593,880,2164,2774,1972,1588,2754,1201,2723,1741,756.6152259
1,15,931,2576,2666,2101,2721,2463,1517,2739,1503,491,1263,368,1869,1901,2830,2021,967,590,2753,738,811,1705.666667,857.2685888
1,16,680,1903,2500,912,1796,867,869,1958,2593,2198,2761,1820,2828,1619,1966,2461,2412,1035,1323,2092,1796,1828.047619,664.3431701
1,17,2170,1551,786,1195,2641,2389,1555,865,2691,1420,1729,2750,2168,1810,2517,2429,1891,1790,2832,2656,2549,2018.285714,626.0659025
