Month,GHI,STD
1,1774.3451612903227,158.56036777859845
2,2660.7142857142853,250.52993550225978
3,3802.667741935484,283.2946451111714
4,4689.356666666667,488.0972580804759
5,5434.890322580644,550.0253282934939
6,6025.86,432.1634249639171
7,6277.645161290323,223.704017779783
8,5478.487096774194,340.4280586853078
9,4274.320000000001,461.24139503499384
10,2590.738709677419,329.6565756129211
11,1875.9466666666663,176.63341490006707
12,1355.2838709677421,159.6398071628322
